kernel,scalar,a_mode,x_mode,M,N,k,P,pr,pc,rep,t_bcast_s,t_local_s,t_reduce_s,t_total_s,t_official_s,t_kernel_s,t_transfer_runtime_overhead_s,gflops,gflops_compute,gflops_kernel
scheme_a,double,local,local,10000,10000,20,1,1,1,1,2.221000000e-06,7.683387390e-01,4.436010000e-04,7.687845610e-01,7.687845610e-01,-1.000000000e+00,-1.000000000e+00,5.203018,5.206037,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,2,6.350000001e-07,7.667914280e-01,7.017170000e-04,7.674937800e-01,7.674937800e-01,-1.000000000e+00,-1.000000000e+00,5.211769,5.216542,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,3,2.009000000e-06,7.712317890e-01,3.090360000e-04,7.715428340e-01,7.715428340e-01,-1.000000000e+00,-1.000000000e+00,5.184417,5.186508,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,4,4.750000002e-07,7.703197710e-01,4.880450000e-04,7.708082910e-01,7.708082910e-01,-1.000000000e+00,-1.000000000e+00,5.189358,5.192649,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,5,2.330000006e-07,7.681327170e-01,3.207250000e-04,7.684536750e-01,7.684536750e-01,-1.000000000e+00,-1.000000000e+00,5.205258,5.207433,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,6,2.419999996e-07,7.661656080e-01,7.047470000e-04,7.668705970e-01,7.668705970e-01,-1.000000000e+00,-1.000000000e+00,5.216004,5.220803,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,7,1.845000000e-06,7.670838260e-01,3.016840000e-04,7.673873550e-01,7.673873550e-01,-1.000000000e+00,-1.000000000e+00,5.212491,5.214554,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,8,2.800000001e-07,7.728374150e-01,5.233610000e-04,7.733610560e-01,7.733610560e-01,-1.000000000e+00,-1.000000000e+00,5.172228,5.175733,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,9,2.409999986e-07,7.685962060e-01,3.110860000e-04,7.689075330e-01,7.689075330e-01,-1.000000000e+00,-1.000000000e+00,5.202186,5.204293,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,10,2.190000004e-07,7.692277380e-01,3.002560000e-04,7.695282130e-01,7.695282130e-01,-1.000000000e+00,-1.000000000e+00,5.197990,5.200020,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,11,2.329999997e-07,7.662809680e-01,7.149170000e-04,7.669961180e-01,7.669961180e-01,-1.000000000e+00,-1.000000000e+00,5.215150,5.220017,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,12,1.901000001e-06,7.673656270e-01,3.056180000e-04,7.676731460e-01,7.676731460e-01,-1.000000000e+00,-1.000000000e+00,5.210551,5.212639,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,13,2.349999999e-07,7.718670790e-01,6.510090000e-04,7.725183230e-01,7.725183230e-01,-1.000000000e+00,-1.000000000e+00,5.177871,5.182239,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,14,2.730000013e-07,7.681377640e-01,3.038830000e-04,7.684419200e-01,7.684419200e-01,-1.000000000e+00,-1.000000000e+00,5.205338,5.207399,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,15,2.930000012e-07,7.688168900e-01,3.045230000e-04,7.691217060e-01,7.691217060e-01,-1.000000000e+00,-1.000000000e+00,5.200737,5.202799,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,16,2.749999997e-07,7.645146280e-01,3.009900000e-04,7.648158930e-01,7.648158930e-01,-1.000000000e+00,-1.000000000e+00,5.230017,5.232078,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,17,3.799999995e-07,7.624582850e-01,3.020810000e-04,7.627607460e-01,7.627607460e-01,-1.000000000e+00,-1.000000000e+00,5.244108,5.246189,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,18,2.629999969e-07,7.662751270e-01,3.005080000e-04,7.665758980e-01,7.665758980e-01,-1.000000000e+00,-1.000000000e+00,5.218009,5.220057,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,19,2.269999975e-07,7.644159030e-01,3.015280000e-04,7.647176580e-01,7.647176580e-01,-1.000000000e+00,-1.000000000e+00,5.230689,5.232754,-1.000000
scheme_a,double,local,local,10000,10000,20,1,1,1,20,3.030000002e-07,7.628421010e-01,2.966750000e-04,7.631390790e-01,7.631390790e-01,-1.000000000e+00,-1.000000000e+00,5.241509,5.243549,-1.000000
