"kernel","tile_granularity","scalar","a_mode","x_mode","M","N","k","P","pr","pc","reps","t_bcast_mean_s","t_bcast_std_s","t_local_mean_s","t_local_std_s","t_reduce_mean_s","t_reduce_std_s","t_total_mean_s","t_total_median_s","t_total_min_s","t_total_std_s","t_total_cv_pct","t_official_mean_s","t_official_median_s","t_official_min_s","t_official_std_s","t_official_cv_pct","t_kernel_mean_s","t_kernel_median_s","t_kernel_min_s","t_kernel_std_s","t_kernel_cv_pct","t_transfer_runtime_overhead_mean_s","t_transfer_runtime_overhead_std_s","t_setup_s","gflops","gflops_compute","gflops_kernel","blocks_per_sm","x_rows_per_tile","rel_err","t_setup_device_init_s","t_setup_device_alloc_s","t_setup_h2d_A_s","bw_h2d_A_gbs","t_h2d_X_mean_s","t_h2d_X_std_s","bw_h2d_X_gbs","t_d2h_Y_mean_s","t_d2h_Y_std_s","bw_d2h_Y_gbs","t_launch_overhead_mean_s","t_launch_overhead_std_s","t_prep_alloc_buffers_s","t_prep_gen_A_s","t_prep_distrib_A_s","t_prep_gen_X_s","t_prep_distrib_X_s","t_prep_total_s","t_io_csv_raw_s","x_layout","t_prep_convert_X_s","group_timing","t_local_group_mean_s","t_local_group_std_s","gflops_local_group"
"cuda_warp_smem(blk512)(g16)","16","double","local","local","16384","16384","32","1","1","1","20","4.501000000e-07","4.768197166e-07","6.099116390e-02","3.433590476e-04","6.996629000e-04","2.886900141e-04","6.169127690e-02","6.142022800e-02","6.135432600e-02","5.673787314e-04","9.197065775e-01","5.965384282e-02","5.954051227e-02","5.951858180e-02","2.899320911e-04","4.860241643e-01","5.895372982e-02","5.893137741e-02","5.892284775e-02","7.177408734e-05","1.217464740e-01","2.037434080e-03","3.534299775e-04","6.187016270e-01","287.992665","291.412761","291.412761","1","176","-1.000e+00","1.376969360e-01","3.052940010e-04","4.793029380e-01","4.480431","1.091902402e-03","2.810847139e-04","3.841281","9.324176013e-04","2.587430131e-04","4.498311","1.311407636e-05","1.079354518e-06","2.531999780e-05","8.392335230e-01","0.000000000e+00","2.438916003e-03","0.000000000e+00","1.460399386e+00","2.214419947e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk1024)(g16)","16","double","local","local","16384","16384","3","1","1","1","20","1.096000000e-07","1.042971463e-08","5.720163850e-03","6.834305334e-06","4.447355000e-05","8.010578844e-07","5.764747000e-03","5.763992000e-03","5.751179000e-03","6.891090984e-06","1.195384808e-01","5.543851920e-03","5.543143822e-03","5.537123038e-03","2.922299799e-06","5.271244327e-02","5.499268770e-03","5.498991966e-03","5.493216038e-03","2.761304519e-06","5.021221247e-02","2.208950798e-04","5.659863177e-06","6.516873020e-01","290.522323","292.877618","292.877618","1","1536","-1.000e+00","1.727403670e-01","2.567119955e-04","4.772644520e-01","4.499568","1.200479999e-04","1.665568816e-06","3.275490","9.126080051e-05","5.311217483e-06","4.308706","9.586279353e-06","8.994592077e-07","7.679500413e-05","8.471438770e-01","0.000000000e+00","2.833760009e-04","0.000000000e+00","1.499191350e+00","1.823420025e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk1024)(g16)","16","double","local","local","16384","16384","6","1","1","1","20","2.681500000e-07","8.192568840e-08","1.012437580e-02","1.652052540e-05","9.056690000e-05","4.806682923e-06","1.021521085e-02","1.020746100e-02","1.018852600e-02","1.808201171e-05","1.770106557e-01","9.803684715e-03","9.797952041e-03","9.782460993e-03","1.438557247e-05","1.467363842e-01","9.712849665e-03","9.707407951e-03","9.692831993e-03","1.268972015e-05","1.306487858e-01","4.115261353e-04","6.685956272e-06","6.246885990e-01","328.572936","331.645767","331.645767","1","864","-1.000e+00","1.453032070e-01","3.234550022e-04","4.777518610e-01","4.494977","2.326639995e-04","2.326854172e-06","3.380119","1.691376008e-04","5.403294687e-06","4.649658","9.724535005e-06","6.553626841e-07","2.392600436e-05","8.565827670e-01","0.000000000e+00","5.615409973e-04","0.000000000e+00","1.481856833e+00","1.853639988e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk1024)(g16)","16","double","local","local","16384","16384","8","1","1","1","20","1.525000000e-07","3.937872788e-08","1.353888255e-02","4.557430890e-04","1.198144500e-04","1.386639500e-06","1.365884950e-02","1.355345100e-02","1.352717500e-02","4.565031635e-04","3.342178736e+00","1.299778935e-02","1.299348058e-02","1.297703578e-02","1.822360734e-05","1.402054369e-01","1.287782240e-02","1.287414408e-02","1.285727978e-02","1.806114383e-05","1.402499838e-01","6.610601509e-04","4.579366946e-04","6.086327740e-01","330.438291","333.516581","333.516581","1","672","-1.000e+00","1.329043840e-01","2.524829979e-04","4.741077150e-01","4.529527","3.083967984e-04","2.167544569e-06","3.400087","3.421551950e-04","4.585730740e-04","3.064621","1.050815746e-05","5.717554108e-07","2.709299588e-05","8.504839910e-01","0.000000000e+00","6.281719980e-04","0.000000000e+00","1.459772030e+00","1.796930010e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)","32","double","local","local","16384","16384","3","1","1","1","20","1.129000000e-07","1.007811595e-08","6.015059950e-03","2.140495304e-04","4.410070000e-05","4.509233918e-07","6.059273550e-03","5.976484000e-03","5.962617000e-03","2.141336536e-04","3.533982280e+00","5.841632838e-03","5.758302683e-03","5.746635094e-03","2.132805455e-04","3.651043319e+00","5.797419238e-03","5.714320183e-03","5.702176094e-03","2.131980514e-04","3.677464793e+00","2.176407119e-04","3.216506438e-06","6.228890110e-01","275.712764","277.815468","277.815468","16","128","-1.000e+00","1.484990260e-01","2.823809991e-04","4.723638390e-01","4.546249","1.189679999e-04","8.640858104e-07","3.305225","8.942239955e-05","3.317107324e-06","4.397288","9.250312468e-06","4.721633571e-07","5.247999798e-05","8.212836890e-01","0.000000000e+00","2.856520005e-04","0.000000000e+00","1.444510832e+00","1.815479991e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)","32","double","local","local","16384","16384","6","1","1","1","20","2.245000000e-07","5.844880804e-08","1.556851440e-02","1.010469796e-05","9.003365000e-05","1.259694293e-06","1.565877255e-02","1.565521300e-02","1.564633800e-02","1.007347697e-05","6.433120436e-02","1.524685820e-02","1.524760104e-02","1.523469387e-02","7.917233068e-06","5.192698041e-02","1.515660005e-02","1.515582418e-02","1.514499187e-02","7.736770447e-06","5.104555390e-02","4.119143538e-04","5.812410606e-06","6.106738840e-01","211.271426","212.529556","212.529556","16","64","-1.000e+00","1.363164350e-01","2.516820023e-04","4.727592340e-01","4.542447","2.319455989e-04","2.527780021e-06","3.390588","1.698847994e-04","4.928206069e-06","4.629208","1.008395555e-05","1.101665044e-06","2.885299909e-05","8.228575180e-01","0.000000000e+00","5.354250025e-04","0.000000000e+00","1.434095680e+00","1.790629976e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)","32","double","local","local","16384","16384","8","1","1","1","20","1.261500000e-07","2.056382879e-08","1.435450130e-02","7.092703741e-05","1.206344000e-04","2.588388452e-06","1.447526185e-02","1.445848750e-02","1.434369900e-02","7.041226393e-05","4.864317113e-01","1.392531907e-02","1.391008499e-02","1.380559098e-02","6.389137593e-05","4.588144489e-01","1.380455852e-02","1.379071999e-02","1.368607998e-02","6.444394097e-05","4.668308725e-01","5.499427845e-04","1.076691222e-05","6.183014510e-01","308.428645","311.126741","311.126741","16","32","-1.000e+00","1.421728430e-01","2.624769986e-04","4.745087850e-01","4.525698","3.094895989e-04","5.242129386e-06","3.388082","2.302480012e-04","8.059107295e-06","4.554116","1.020518436e-05","6.653849808e-07","7.556399942e-05","8.431211360e-01","0.000000000e+00","6.320179964e-04","0.000000000e+00","1.462130169e+00","1.803790001e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)","32","double","local","local","16384","16384","20","1","1","1","20","1.515500000e-07","8.718551002e-08","3.401082270e-02","2.120419240e-04","3.621059500e-04","1.594876266e-04","3.437308020e-02","3.429451400e-02","3.408248100e-02","2.821473161e-04","8.208380352e-01","3.319887344e-02","3.315998921e-02","3.299857224e-02","1.855838988e-04","5.590066153e-01","3.283661594e-02","3.281966400e-02","3.269062424e-02","1.110366270e-04","3.381488127e-01","1.174206756e-03","1.822023898e-04","6.089450840e-01","323.427187","326.995274","326.995274","12","32","-1.000e+00","1.339234580e-01","3.058220027e-04","4.733342880e-01","4.536928","6.326207995e-04","1.133050047e-04","4.143778","5.297952026e-04","1.491860760e-04","4.948025","1.179075394e-05","1.620734432e-06","5.707400123e-05","8.372421370e-01","0.000000000e+00","1.600329000e-03","0.000000000e+00","1.447844624e+00","2.132540030e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk64)","32","double","local","local","16384","16384","32","1","1","1","20","4.558500000e-07","4.632114755e-07","5.410636050e-02","2.744326794e-04","6.467232500e-04","3.035141460e-04","5.475353960e-02","5.461081200e-02","5.438621600e-02","4.017820188e-04","7.338009958e-01","5.285703513e-02","5.281134169e-02","5.257155518e-02","3.414043290e-04","6.459013983e-01","5.220985603e-02","5.224836922e-02","5.204697418e-02","1.283515300e-04","2.458377398e-01","1.896504467e-03","2.499479267e-04","6.170543990e-01","325.025215","329.054138","329.054138","7","32","-1.000e+00","1.351714480e-01","3.136910018e-04","4.802125230e-01","4.471944","1.020736003e-03","1.843720448e-04","4.109098","8.631040007e-04","1.814636120e-04","4.859558","1.266446307e-05","8.429043739e-07","6.928500079e-05","8.444531540e-01","0.000000000e+00","2.496428002e-03","0.000000000e+00","1.464073266e+00","2.211530009e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
"cuda_warp_smem(blk128)","32","double","local","local","16384","16384","3","1","1","1","20","1.699000000e-07","1.721351977e-08","5.612023000e-03","1.021481701e-05","4.478135000e-05","2.692934425e-06","5.656974250e-03","5.654565500e-03","5.636682000e-03","1.039175966e-05","1.836981963e-01","5.436928894e-03","5.433737731e-03","5.420772226e-03","8.927268726e-06","1.641969005e-01","5.391977644e-03","5.388671875e-03","5.376992226e-03","8.183656699e-06","1.517746779e-01","2.200453560e-04","5.109289266e-06","6.142181590e-01","296.235755","298.705381","298.705381","8","256","-1.000e+00","1.390160130e-01","2.620460000e-04","4.735507170e-01","4.534855","1.209647998e-04","4.496045169e-06","3.250665","8.986400068e-05","3.350786638e-06","4.375679","9.216555534e-06","5.392917369e-07","2.880299871e-05","8.352759410e-01","0.000000000e+00","3.008060012e-04","0.000000000e+00","1.449823709e+00","1.795789940e-04","row","0.000000000e+00","0","-1.000000000e+00","0.000000000e+00","-1.000000"
